"OrderNumber";"OrderDate";"Customer Name Index";"Channel";"Currency Code";"Warehouse Code";"Delivery Region Index";"Product Description Index";"Order Quantity";"Unit Price";"Line Total";"Total Unit Cost"
"SO - 000225";"2021-01-01";126;"Wholesale";"USD";"AXW291";364;27;6;2499.1;14994.6;1824.343
"SO - 0003378";"2021-01-01";96;"Distributor";"USD";"AXW291";488;20;11;2351.7000000000003;25868.700000000004;1269.918
"SO - 0005126";"2021-01-01";8;"Wholesale";"USD";"AXW291";155;26;6;978.2;5869.200000000001;684.74
"SO - 0005614";"2021-01-01";42;"Export";"USD";"AXW291";473;7;7;2338.3;16368.100000000002;1028.852
"SO - 0005781";"2021-01-01";73;"Wholesale";"USD";"AXW291";256;8;8;2291.4;18331.2;1260.2700000000002
"SO - 0010394";"2021-01-01";138;"Export";"USD";"NXH382";626;23;11;5219.3;57412.3;4332.019
"SO - 0008865";"2021-01-01";53;"Wholesale";"USD";"GUT930";540;1;7;2874.3;20120.1;1667.094
"SO - 0009909";"2021-01-01";45;"Wholesale";"USD";"AXW291";156;25;10;1045.2;10452.0;679.3800000000001
"SO - 0001912";"2021-01-01";85;"Wholesale";"USD";"AXW291";934;13;5;3852.5;19262.5;2966.425
"SO - 0002683";"2021-01-01";125;"Export";"USD";"AXW291";652;14;12;2914.5;34974.0;1311.525
"SO - 0004272";"2021-01-01";13;"Wholesale";"USD";"FLR025";504;26;11;2257.9;24836.9;1196.687
"SO - 0004580";"2021-01-01";130;"Export";"USD";"NXH382";389;4;5;1232.8;6164.0;628.728
"SO - 0004646";"2021-01-01";148;"Wholesale";"USD";"GUT930";107;25;5;3859.2;19296.0;2855.808
"SO - 0007608";"2021-01-01";4;"Distributor";"USD";"NXH382";781;15;10;1983.2;19832.0;1606.392
"SO - 0007951";"2021-01-01";123;"Distributor";"USD";"NXH382";458;3;7;167.5;1172.5;135.675
"SO - 0001068";"2021-01-01";64;"Export";"USD";"FLR025";750;10;11;924.6;10170.6;656.466
"SO - 0002010";"2021-01-01";109;"Distributor";"USD";"NXH382";594;11;11;1045.2;11497.2;543.504
"SO - 0002504";"2021-01-01";42;"Export";"USD";"FLR025";829;27;11;1976.5;21741.5;790.6
"SO - 0009931";"2021-01-01";83;"Wholesale";"USD";"AXW291";19;13;6;6525.8;39154.8;3589.1900000000005
"SO - 0009346";"2021-01-01";132;"Wholesale";"USD";"NXH382";210;13;7;1011.7;7081.900000000001;839.711
"SO - 0002468";"2021-01-01";19;"Wholesale";"USD";"GUT930";74;5;8;1983.2;15865.6;1348.576
"SO - 0003850";"2021-01-01";116;"Wholesale";"USD";"FLR025";105;13;6;2653.2000000000003;15919.2;1485.7920000000004
"SO - 0006279";"2021-01-01";22;"Distributor";"USD";"GUT930";331;4;7;3845.8;26920.6;1538.3200000000002
"SO - 0006313";"2021-01-01";129;"Export";"USD";"NXH382";128;16;8;1822.4;14579.2;1530.816
"SO - 0010604";"2021-01-01";95;"Wholesale";"USD";"NXH382";1;19;11;5078.6;55864.600000000006;4113.666
"SO - 0008840";"2021-01-01";156;"Distributor";"USD";"AXW291";535;2;7;844.2;5909.400000000001;616.266
"SO - 0004336";"2021-01-01";143;"Export";"USD";"AXW291";654;14;9;268.0;2412.0;227.8
